PKEY|CON_ID|OWNER|OBJECT_NAME|OBJECT_TYPE|DMA_SOURCE_ID|DMA_MANUAL_ID
instance-1_NOK19ORC_061324082624|3|SYS|"JAVA$JOX$CUJS$DIRECTORY$"|DIRECTORY|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|SYS|"OPATCH_LOG_DIR"|DIRECTORY|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|SYS|"XSDDIR"|DIRECTORY|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|SYS|"ORACLE_BASE"|DIRECTORY|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|SYS|"XMLDIR"|DIRECTORY|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|SYS|"SDO_DIR_ADMIN"|DIRECTORY|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"COUNTRY_C_ID_PK_DEMO"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"EMPLOYEES_BKP"|TABLE|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"EMPLOYEES"|TABLE|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"JOB_HISTORY"|TABLE|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"SYS_IL0000077089C00017$$"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"EMP_DETAILS_VIEW"|VIEW|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"VW_TABLE_FUNCTION_ORACLE"|VIEW|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"VW_PIVOT_1"|VIEW|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"EMPLOYEES_SEQ"|SEQUENCE|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"LOC_STATE_PROVINCE_IX"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"EMP_MANAGER_IX"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"EMP_DEPARTMENT_IX"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"JHIST_DEPARTMENT_IX"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"LOC_ID_PK"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|"EMP_EMAIL_UK"|INDEX|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|SAMET|"TEST"|TABLE|instance-1_nok19orcl_729121870|'NA'
